659.00;0.00;0.00;0.00;0.00;0.00;0.00
686.00;0.10;0.00;0.00;0.00;0.00;0.00
708.00;2.40;0.00;0.00;0.00;0.00;0.00
754.00;3.40;0.00;0.00;0.00;0.00;0.00
794.00;4.80;1.00;0.00;0.00;0.00;0.00
836.00;5.70;1.90;1.00;0.00;0.00;0.00
886.00;6.60;3.80;1.30;0.00;0.00;0.00
974.00;7.40;4.70;3.00;0.00;0.00;0.00
1081.00;8.30;5.60;3.80;1.10;0.00;0.00
1225.00;9.40;7.00;4.80;2.10;0.20;0.00
1404.00;10.90;9.10;7.20;4.40;2.70;1.80
1629.00;11.90;10.20;8.30;6.40;4.60;2.80
1733.00;13.40;11.60;10.80;7.90;6.00;5.20
1849.00;14.30;12.70;11.90;9.20;7.40;6.60
1998.00;15.30;13.60;12.80;10.20;9.40;7.60
2157.00;16.30;14.60;13.80;11.10;10.40;8.70
2347.00;17.30;16.60;14.90;12.10;11.30;9.70
2566.00;18.20;17.60;15.90;14.10;12.30;11.60
2934.00;19.30;18.60;16.90;15.10;13.40;12.60
3356.00;21.90;21.80;20.20;18.80;17.40;17.00
3611.00;22.90;22.80;21.40;19.80;19.40;18.00
3882.00;23.90;23.80;22.40;21.00;20.40;19.00
4210.00;24.90;24.80;23.40;22.00;21.60;21.00
4604.00;26.40;25.80;24.40;23.00;22.60;22.20
5076.00;27.40;26.80;26.40;24.00;23.60;23.20
5654.00;28.40;27.80;27.40;25.00;24.60;24.20
6381.00;29.40;28.80;28.40;26.00;25.60;25.20
7323.00;30.30;30.20;29.80;27.60;27.40;27.20
8441.00;31.30;31.20;31.00;29.60;28.40;28.20
9336.00;32.80;32.70;32.50;31.30;29.90;29.70
10448.00;33.80;33.70;33.50;32.30;32.10;30.60
14013.00;35.10;35.10;34.50;33.30;33.10;31.90
20118.00;37.10;37.10;36.90;35.80;35.60;34.40
22749.00;38.10;38.10;37.90;37.20;36.60;35.40
25276.00;39.10;39.10;38.90;38.20;38.00;36.40
28309.00;40.10;40.10;39.90;39.20;39.00;37.80
28309.00;41.10;41.10;40.90;40.20;40.00;38.80
